,Percent admitted,Admissions yield,Total enrollment,Undergraduate enrollment,Graduate enrollment,Asian proportion,Black proportion,Hispanic/Latino proportion,Whie proportion,Student-to-faculty ratio,Full-time retention rate,Undergraduates in state,Undergraduates out of state,Undergraduates foreign,Graduation rate,Average professor salary,Total FTE staff,Total library expenditures per FTE,Total dormitory capacity,Books and supplies 2017-18,Full-time enrollment,Part-time enrollment,x0_Private not-for-profit,x0_Public,x1_City: Midsize,x1_City: Small,x1_Rural: Distant,x1_Rural: Fringe,x1_Rural: Remote,x1_Suburb: Large,x1_Suburb: Midsize,x1_Suburb: Small,x1_Town: Distant,x1_Town: Fringe,x1_Town: Remote
572,0.5,0.35000000000000003,0.12515389350569406,0.13949118599648924,0.040982054074530046,0.016666666666666666,0.09183673469387754,0.19,0.66,0.28125,0.67,0.16983708018567398,0.006859382655560999,0.0038284839203675345,0.46,0.37467498916630554,0.03679040021098438,0.034214813886451936,0.2084971603320227,0.15394483643361132,0.08441614649957199,0.06339428554341163,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
573,0.67646408839779,0.36113337940566687,0.02981686672822407,0.03835883996340891,0.0,0.016666666666666666,0.04081632653061224,0.02,0.91,0.28125,0.64,0.018294347865659415,0.0002449779519843214,0.0,0.3,0.3395196506550218,0.006692160611854685,0.05863990712741794,0.08837423151073255,0.181398332264272,0.011637636694141747,0.028333059222821942,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
574,0.54,0.42,0.007540781779008925,0.008517318960615125,0.0023201856148491883,0.0,0.13265306122448978,0.15,0.63,0.171875,0.55,0.0067352325475562025,0.025967662910338068,0.002297090352220521,0.32,0.2428330944364812,0.004879013648051691,0.042361198145130965,0.03249235474006116,0.15394483643361132,0.006049647504640627,0.00239223719031742,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
575,0.63,0.32,0.0036453524161280393,0.0039310702895146744,0.0015152232586770208,0.03333333333333333,0.01020408163265306,0.08,0.6,0.109375,0.78,0.08372888508693553,0.04328925830758833,0.025373861918525923,0.65,0.33534594559420455,0.004417485329992747,0.10339641559092617,0.018730886850152905,0.08338678640153946,0.0034720552451117117,0.00034388409610812913,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
576,0.67,0.79,0.0011734379809172051,0.0015452320320419315,0.0,0.0,0.0,0.0,1.0,0.171875,0.77,0.08372888508693553,0.04328925830758833,0.025373861918525923,0.1,0.33534594559420455,0.00046152831805894377,0.05863990712741794,0.08837423151073255,0.02565747273893522,0.0012214709588066132,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
577,0.62,0.39,0.21041089566020313,0.22632086434098947,0.0845447227614944,0.016666666666666666,0.19387755102040816,0.03,0.71,0.296875,0.79,0.1854009283698917,0.3375796178343949,0.015313935681470138,0.58,0.42227240908030267,0.1498318718269928,0.08359443539290637,0.2851681957186544,0.15394483643361132,0.1805564906273744,0.04646920742191588,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
578,0.88,1.0,0.004703370267774699,0.0034736816080302617,0.004995501680950803,0.016666666666666666,0.02040816326530612,0.14,0.53,0.09375,0.5,0.08372888508693553,0.04328925830758833,0.025373861918525923,0.67,0.3045393179772659,0.0019450121975341204,0.1699461085349041,0.006498470948012232,0.2070558050032072,0.0011349100247179556,0.0056217573972459365,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
579,0.52,0.3,0.04760118497999384,0.0361955151185502,0.047918935555660784,0.06666666666666667,0.12244897959183673,0.07,0.61,0.1875,0.78,0.0227541640120142,0.0046545810877021065,0.006891271056661563,0.5,0.4613195439847995,0.025219225951078,0.07369344529389647,0.06127129750982962,0.15394483643361132,0.024583305281178768,0.03585365488988233,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
580,0.87,0.17,0.0075504001231148045,0.009172497342200905,0.0010890667171741086,0.0,0.061224489795918366,0.03,0.73,0.171875,0.71,0.08372888508693553,0.04328925830758833,0.025373861918525923,0.5,0.24700406680222675,0.004944946264917255,0.05840330868529891,0.016546526867627784,0.09621552277100706,0.006924874727092609,0.0010466037707638712,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
581,0.64,0.19,0.05527662357648507,0.018530422528246843,0.10064396988493773,0.06666666666666667,0.08163265306122448,0.04,0.66,0.265625,0.77,0.08372888508693553,0.04328925830758833,0.025373861918525923,0.58,0.2814593819793993,0.01925232412474451,0.03521744579521243,0.05848623853211009,0.16677357280307892,0.03646138901445567,0.029319857063827878,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
